CompanyID,Name,Saldo
SUPP-02263,INTI BEARING,3690000.0000
SUPP-05596,"KARYA TEHNIK BALI, CV",254932300.0000
SUPP-02162,KRESNA / KHARISMA TOKO,3363000.0000
SUPP-02264,KURNIA JAYA,10214500.0000
SUPP-02620,"PRIMA KARUNIA KREASI, PT",5980523.0000
SUPP-00269,"MITRA HAENTE DIESEL, PT",283494000.0000
SUPP-02231,"BALI GLOBAL OIL, PT",6753809.0000
SUPP-03170,"BETON PERKASA WIJAKSANA, PT",37660142.0000
SUPP-02750,"BIMA CAKRA NUSANTARA, PT",11272726.4100
SUPP-03724,"CHEMACO LESTARI INDO, PT, DENPASAR",34688806.0000
SUPP-02349,"JUMBO POWER INTERNATIONAL, PT, Denpasar",1100000.0000
SUPP-01572,"LARIS CANDRA, PT",1008000.0000
SUPP-02648,"PARAMITA BANINDO MAKMUR, PT",53954100.0000
SUPP-02896,"POTAINDO MACHINERY, PT",29000000.0000
SUPP-02942,"RIADIMIX, PT",253861000.0000
SUPP-06427,"Sanur Jaya Utama,  BALI",124318298.0000
SUPP-03680,"TOKOHERO BALI NUSA, PT",7849999.0000
SUPP-06777,SATRIA DHARMA WIGUNA,83006000.0000
SUPP-03032,SUKSES BERSAMA MOTOR,1228500.0000
SUPP-00578,SUMBER MAS UTAMA MOTOR,190883246.0000
SUPP-03596,ANOM JAYA,139300000.0000
SUPP-06770,YUNGLES FOBIA,6000000.0000
SUPP-00344,AHMAD SAJIDI,1037500.0000
SUPP-00008,ANEKA TEKNIK,71824000.0000
SUPP-00337,"BALI HASANAH, CV",237881950.0000
SUPP-00198,BATCHING PLANT LOMBOK,3442171850.0000
SUPP-04916,BESARUDIN,55550000.0000
SUPP-06119,CASH TJS,1343137680.7000
SUPP-00007,CENTRAL BANGUNAN,274172000.0000
SUPP-00302,"HARUM JAYA, CV",14512140.0000
SUPP-00304,"PRATAMA PRIMA SOLUSI, CV",864207623.0000
SUPP-04333,"ARKA DIVYA, CV",16260390.0000
SUPP-04287,"KARUNIA TEKINDO JAYA, CV",25362288.0000
SUPP-04413,"MATARAM MEDIA, CV",22540000.0000
SUPP-04841,"SINAR BANDUNG ABADI, CV",6174000.0000
SUPP-00004,"ATHAYA CAHAYA SEJATI, CV",59079400.0000
SUPP-02245,DAYA MANDIRI,14319600.0000
SUPP-00099,GAJAH GOTRA,3761000.0000
SUPP-03948,"GAMANA MAKAPHALA, PT, MATARAM",299604999.0000
SUPP-01286,HAMDANI,5893750.0000
SUPP-05589,HAMZAN WADI,6500000.0000
SUPP-00002,KARYA INDAH MANDIRI,686053369.0000
SUPP-00504,MADE MAJU MANDIRI,527666743.0000
SUPP-04023,MARMER INDAH,5000000.0000
SUPP-00811,"MITRA SEJATI, UD",11100000.0000
SUPP-05367,MIYAZ MITRA UTAMA,14550000.0000
SUPP-02779,MOH. DONY ARZAKY,222160001.0000
SUPP-04087,NASRUDIN,1062600.0000
SUPP-02384,PANDU LOGISTICS,548973.0000
SUPP-02855,"PERMATA POMPA, CV",5050000.0000
SUPP-00003,"PLATINUM CERAMICS INDUSTRY, PT",664300.0000
SUPP-02710,PLAZA BANGUNAN,10800000.0000
SUPP-02246,"DEWATA VULCANINDO SURYAJAYA, PT",24420000.0000
SUPP-04365,"KENT MANDIRI TEKNIK, PT",60200000.0000
SUPP-05046,"LOMBOK CAHAYA BANGUNAN PERKASA, PT",4922000.0000
SUPP-04330,"MANDIRI GUNANINDO NUSANTARA, PT",130992613.0000
SUPP-06767,"PRIMA PARAMA MOBILINDO, PT",1368608.0000
SUPP-02171,"PROPAN RAYA, PT",6912800.0000
SUPP-06876,"RAJAWALI HASTA DWI KARYA, PT",4790205.0000
SUPP-04838,"ROTARI ASRI ELEKTRONIK, PT",10086000.0000
SUPP-04031,"SAKA AGUNG ABADI, PT Mataram",136880000.0000
SUPP-03940,"SANUR JAYA UTAMA DIVISI BATCHING PLANT, PT",67249250.0000
SUPP-02004,"SANUR JAYA UTAMA (AMP NTB), PT",4739200.0000
SUPP-02005,"SJU (BATCHING PLANT), PT",4400000.0000
SUPP-03101,"SUNGAI MAS CEMERLANG, PT",744000.0000
SUPP-01952,"USAHA DIGDAYA MUNCUL, PT",1665000.0000
SUPP-04915,"WISMA ATESON INDONESIA, PT",7532700.0000
SUPP-00422,"KOKOH MANDIRI SEJAHTERA, PT",193453318.0000
SUPP-04025,SINGKAWANG,4200000.0000
SUPP-00105,SRI JAYA BANGUNAN,150000.0000
SUPP-02086,TELUK BENTANK,14800000.0000
SUPP-04044,TIARA SENI,5200000.0000
SUPP-02996,TOKO 2K ELECTRIC,15745000.0000
SUPP-04825,"KARYA SEJATI, UD",11500000.0000
SUPP-04060,"RAJA MAS, UD",79198079.0000
SUPP-00086,"ALAM LESTARI, UD",3080000.0000
SUPP-00082,"SAMPURNA, UD",924500.0000
SUPP-01889,"ADI WISESA MANDIRI, PT",4195800.0000
SUPP-05511,ASTA GINA,2800000.0000
SUPP-05451,AW PLUS,62745235.0000
SUPP-06168,BAGUS INTERIOR,23603700.0000
SUPP-01764,BERKAT UNGGUL PRATAMA,39538200.0000
SUPP-01002,"BUMI KAYA STEEL INDUSTRIES, PT",19425000.0000
SUPP-06439,"CIPTA MORTAR UTAMA, PT Jakarta, PT",264004620.0000
SUPP-00858,"CISANGKAN, PT",130421583.0000
SUPP-02103,"HARUM JAYA INDAH, CVxx",157808427.0000
SUPP-00475,SARANA PUTRA METAL,78935968.0000
SUPP-04701,"AGAM HARMONI ALAM, CV",54612000.0000
SUPP-03230,"ARTIC, CV",5059747388.0000
SUPP-05928,"GLOBAL BALI UTAMA, CV",22638450.0000
SUPP-04202,"ISJAVA STONES, CV",110399800.0000
SUPP-03165,"JASMIC JOYO MANDIRI, CV",10072418.0000
SUPP-06271,"MANDIRI KARYA BERSAMA, CV",23041676.0000
SUPP-04448,"MEGA TAMA, CV",42960000.0000
SUPP-02199,"MELINGGIH BUMI PERTIWI, CV",2030000.0000
SUPP-02808,"SINAR MAS INTI PERKASA, CV",16183356.0000
SUPP-02860,"GLOBAL JAYA SEJAHTERA, CV",10767000.0000
SUPP-03823,WAHYU KARYA UTAMA,24741900.0000
SUPP-00665,DANAU CALA MUSI,26120600.0000
SUPP-04789,"DJABESDEPO FORTUNE RAYA, PT",383335916.0000
SUPP-00411,"DWI PUTRA, UD",178866550.0000
SUPP-05983,ERGI PUTRA,85967980.0000
SUPP-06600,"GAMANA MAKAPHALA, PT (KALTIM)",62480000.0000
SUPP-00842,"HANJAYA LESTARI, PT",68571720.0000
SUPP-01164,HARTONO,70518000.0000
SUPP-01255,JNE EXPRES ACROSS NATIONS,414070.0000
SUPP-06130,KARUNIA STEEL BALI,3040000.0000
SUPP-02716,"KARYA BERSATU LESTARI, PT",276640000.0000
SUPP-06675,KARYA MANDIRI TOKO,54357600.0000
SUPP-02737,"KENARI DJAJA PRIMA, BALI",61555050.0000
SUPP-02160,KREASINDO CITRA NUSANTARA,1475000.0000
SUPP-02216,KUBON INTARAN STONE,133890300.0000
SUPP-03209,"MIMBA JAYA UTAMA, PT",3208249.0000
SUPP-02123,PERMATA KERAMIK,30350640.0000
SUPP-00184,"PRIMA JAYA ABADI, CV",2138566.0000
SUPP-04135,"ADHIMIX RMC INDONESIA, PT",493232940.0000
SUPP-02133,"ADIKA JAYA DEWATA, PT",1069200.0000
SUPP-02666,"ADITYA SARANA GRAHA, PT",23943033.0000
SUPP-06618,"ADIWISESA MANDIRI BUILDING PRODUCT INDONESIA, PT",17142840.0000
SUPP-04293,"ARTOLITE INDAH MEDIATAMA, PT",449793266.0000
SUPP-02693,"BALE DHANA, PT",22477500.0000
SUPP-06676,"BANGUN MITRA TRIKENCANA, PT",34367206.0000
SUPP-02028,"BANGUNAN JAYA PRATAMA, PT",1701000.0000
SUPP-02332,"BENTENG ANUGERAH SEJAHTERA, PT",57571100.0000
SUPP-04197,"BERKAT PRIMA LANCAR LANGGENG, PT",10612800.0000
SUPP-03181,"CAHAYA LESTARI PERMAI ABADI, PT",35673522.0000
SUPP-04939,"CENTRAL TEKNIK UTAMA, PT",483967659.0000
SUPP-05446,"DEWATA KENCANA KRESNA, PT",316807461.0000
SUPP-02714,"DHARMAMAS BALI PUTERA, PT",12887100.0000
SUPP-04942,"DUO INDORAYA, PT",86378400.0000
SUPP-06400,"DUTA KREASI BERSAMA REALTINDO, PT. Kaltim, PT",384954843.0000
SUPP-04739,"EZA JAYA ABADI COMPOSIT, PT",102644808.0000
SUPP-03147,"FAJAR LESTARI SEJATI, PT",40157246.0000
SUPP-00801,"HARAPAN JAYA BETON, PT",37037000.0000
SUPP-06335,"INCOMINDO MURNI JAYA, PT",292524649.0000
SUPP-03865,"JAYA RAYA PERSADA, PT",30109500.0000
SUPP-00588,"LISA CONCRETE INDONESIA, PT",184871610.0000
SUPP-01762,"MASTER STEEL MFC, PT",329900300.0000
SUPP-03366,"MULIA ANDALAN GEMILANG, PT",323440800.0000
SUPP-01047,"NIRO CERAMIC SALES INDONESIA, PT",148171680.0000
SUPP-02003,"NIRWANA CIPTA KREASI, PT",116741458.0000
SUPP-00627,"RANGKA RAYA, PT",163686373.0000
SUPP-06557,"RECKAT COMPOSITES DELMIMA, PT",277544400.0000
SUPP-06391,"RODA NURMALA, PT",349650000.0000
SUPP-02364,"SINAR INDOGREEN KENCANA, PT",14652000.0000
SUPP-04447,"SINAR METRINDO PERKASA, PT",1258740000.0000
SUPP-02738,"SINARMONAS INDUSTRIES, PT",625070570.0000
SUPP-02281,"SJU (DIV. AMP SEBUDI II), PT",845450825.0000
SUPP-03681,"SUKSES EXPAMET, PT",147427453.0000
SUPP-03334,SUPRA NIAGA NUSANTRA,22400000.0000
SUPP-01045,"TUNAS BALI KARSA SAKTI, PT",2649348.0000
SUPP-06479,"WIGUNA LOGAM PRIMARAKSA, PT",150000001.0000
SUPP-06533,"WILLS KHARISMA INOVASI, PT",84404250.0000
SUPP-02762,"ARITA PRIMA INDONESIA, PT",12554757.0000
SUPP-02752,"CENTRIN ONLINE PRIMA, PT",2679001.0000
SUPP-04190,"SIMTEX MECHATRONIC INDOJAYA, PT",353398319.0000
SUPP-02126,ROTAMA TOUR,1864000.0000
SUPP-01891,SADUS TILES,14682330.0000
SUPP-00321,"SANGA BAYU DEWATA, PT",3118798.0000
SUPP-00718,"SATYA LANGGENG SENTOSA, PT",2702671.0000
SUPP-02193,"SEKARTINI, UD",35942400.0000
SUPP-00951,"SEMANGAT SUKSES MANDIRI, CV",34290000.0000
SUPP-01539,SINAR MAJU ELECTRIC,11580000.0000
SUPP-00663,SUPRANIAGA NUSANTARA,89600000.0000
SUPP-02155,SYNUS TONERINDO PRIMA,5529000.0000
SUPP-02096,TIRTA SARI,2784000.0000
SUPP-05335,TRIJAYA PAVING,7504800.0000
SUPP-02175,"WIRATA, UD",12862500.0000
SUPP-06126,"ANUGRAH DEWATA, UD",74200000.0000
SUPP-03261,"KAYANA BALI, UD",8478195.0000
SUPP-05960,"KERSIK SEMERU, UD",75090650.0000
SUPP-01830,"SRI MERTA SARI, UD",227473000.0000
SUPP-04100,"MITRA USAHA, UD",115889700.0000
SUPP-05689,"SUMBER REJEKI, UD",2419000.0000
SUPP-02098,"TERIMA KARYA, UD",23144792.0000
SUPP-02754,"BANGUN JAYA MANDIRI, UD",20451393.0000
SUPP-02158,"WIKA MUNGGU, UD",514860400.0000
